,0,1,2,3,4,5,6,7,8,9
Pulp Fiction (1994),Pulp Fiction (1994),Fargo (1996),"Silence of the Lambs, The (1991)","Shawshank Redemption, The (1994)",GoodFellas (1990),"Usual Suspects, The (1995)",American Beauty (1999),L.A. Confidential (1997),Good Will Hunting (1997),Schindler's List (1993)
"Green Mile, The (1999)","Green Mile, The (1999)","Silence of the Lambs, The (1991)","Sixth Sense, The (1999)",Jerry Maguire (1996),"Shawshank Redemption, The (1994)",Fargo (1996),Good Will Hunting (1997),"Firm, The (1993)",Sling Blade (1996),Schindler's List (1993)
"Cider House Rules, The (1999)","Cider House Rules, The (1999)",Good Will Hunting (1997),Jerry Maguire (1996),Scent of a Woman (1992),Philadelphia (1993),Quiz Show (1994),"Sixth Sense, The (1999)","Green Mile, The (1999)",Erin Brockovich (2000),"English Patient, The (1996)"
Summer of Sam (1999),Summer of Sam (1999),Arlington Road (1999),Rushmore (1998),Pushing Tin (1999),Basic Instinct (1992),"Blair Witch Project, The (1999)",Dolores Claiborne (1994),American Pie (1999),White Sands (1992),Affliction (1997)
Ronin (1998),Ronin (1998),Heat (1995),Patriot Games (1992),Die Hard 2 (1990),Speed (1994),Clear and Present Danger (1994),"Fifth Element, The (1997)","Fugitive, The (1993)","Rock, The (1996)","Hunt for Red October, The (1990)"
Private Parts (1997),Private Parts (1997),"People vs. Larry Flynt, The (1996)",There's Something About Mary (1998),Dumb & Dumber (1994),"Cable Guy, The (1996)","Brady Bunch Movie, The (1995)",Wayne's World (1992),Happy Gilmore (1996),Tommy Boy (1995),Mallrats (1995)
Payback (1999),Payback (1999),"Rock, The (1996)",Tomorrow Never Dies (1997),Outbreak (1995),"Fugitive, The (1993)",Speed (1994),Entrapment (1999),Con Air (1997),Enemy of the State (1998),Die Hard: With a Vengeance (1995)
"Last Days of Disco, The (1998)","Last Days of Disco, The (1998)",Nixon (1995),Slam (1998),Trees Lounge (1996),Eve's Bayou (1997),Basquiat (1996),He Got Game (1998),Kids (1995),Two Girls and a Guy (1997),Deconstructing Harry (1997)
Amistad (1997),Amistad (1997),"Pelican Brief, The (1993)",Scent of a Woman (1992),Primary Colors (1998),"Firm, The (1993)",Awakenings (1990),Apollo 13 (1995),"Truman Show, The (1998)","Karate Kid, The (1984)",Mr. Holland's Opus (1995)
Apollo 13 (1995),Apollo 13 (1995),Good Will Hunting (1997),"Shawshank Redemption, The (1994)","Truman Show, The (1998)",As Good As It Gets (1997),Schindler's List (1993),Awakenings (1990),Jerry Maguire (1996),Ferris Bueller's Day Off (1986),Forrest Gump (1994)
Rob Roy (1995),Rob Roy (1995),"Last of the Mohicans, The (1992)",Michael Collins (1996),Titanic (1997),Forrest Gump (1994),Unforgiven (1992),Dances with Wolves (1990),Saving Private Ryan (1998),Braveheart (1995),"Mask of Zorro, The (1998)"
Toy Story (1995),Toy Story (1995),Toy Story 2 (1999),Star Wars: Episode V - The Empire Strikes Back (1980),Groundhog Day (1993),Back to the Future (1985),Men in Black (1997),"Matrix, The (1999)",Star Wars: Episode VI - Return of the Jedi (1983),"Shawshank Redemption, The (1994)",Star Wars: Episode IV - A New Hope (1977)
Poetic Justice (1993),Poetic Justice (1993),Moll Flanders (1996),"Inkwell, The (1994)",Soul Food (1997),"Crow: City of Angels, The (1996)",Welcome to the Dollhouse (1995),Lassie (1994),Beloved (1998),Heaven & Earth (1993),"Davy Crockett, King of the Wild Frontier (1955)"
Waiting to Exhale (1995),Waiting to Exhale (1995),Soul Food (1997),In & Out (1997),"Butcher's Wife, The (1991)",Mixed Nuts (1994),Sister Act (1992),Robin Hood: Men in Tights (1993),Mr. Saturday Night (1992),Guilty as Sin (1993),Lethal Weapon 3 (1992)
"Insider, The (1999)","Insider, The (1999)",Fargo (1996),"Shawshank Redemption, The (1994)",Pulp Fiction (1994),American Beauty (1999),Boogie Nights (1997),Schindler's List (1993),GoodFellas (1990),L.A. Confidential (1997),Dead Man Walking (1995)
American Beauty (1999),American Beauty (1999),Being John Malkovich (1999),Fargo (1996),Shakespeare in Love (1998),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Shawshank Redemption, The (1994)",Star Wars: Episode V - The Empire Strikes Back (1980),L.A. Confidential (1997),Election (1999)
Soul Food (1997),Soul Food (1997),Beyond the Poseidon Adventure (1979),Waiting to Exhale (1995),Three Wishes (1995),Dancing at Lughnasa (1998),American Dream (1990),Stanley & Iris (1990),That's Life! (1986),Moll Flanders (1996),Dirty Dancing (1987)
Groundhog Day (1993),Groundhog Day (1993),Forrest Gump (1994),Shakespeare in Love (1998),Back to the Future (1985),Toy Story (1995),Ferris Bueller's Day Off (1986),There's Something About Mary (1998),"Princess Bride, The (1987)","Shawshank Redemption, The (1994)",Star Wars: Episode V - The Empire Strikes Back (1980)
Anna and the King (1999),Anna and the King (1999),28 Days (2000),"Girl, Interrupted (1999)",It Could Happen to You (1994),"Man in the Iron Mask, The (1998)","Adventures of Rocky and Bullwinkle, The (2000)",Moll Flanders (1996),Mrs. Winterbourne (1996),Mansfield Park (1999),Brokedown Palace (1999)
"Thin Red Line, The (1998)","Thin Red Line, The (1998)",Saving Private Ryan (1998),GoodFellas (1990),Schindler's List (1993),"Last of the Mohicans, The (1992)","Hunt for Red October, The (1990)",Full Metal Jacket (1987),Heat (1995),"Matrix, The (1999)","Fugitive, The (1993)"
Eyes Wide Shut (1999),Eyes Wide Shut (1999),"Sixth Sense, The (1999)",Clerks (1994),Rushmore (1998),"Blair Witch Project, The (1999)","Talented Mr. Ripley, The (1999)",American Beauty (1999),Election (1999),Being John Malkovich (1999),Fight Club (1999)
Mighty Joe Young (1998),Mighty Joe Young (1998),Dragonheart (1996),Buddy (1997),Candleshoe (1977),Mighty Joe Young (1949),Pete's Dragon (1977),"Honey, I Blew Up the Kid (1992)","Honey, I Shrunk the Kids (1989)",Jumanji (1995),Kull the Conqueror (1997)
He Got Game (1998),He Got Game (1998),Basquiat (1996),Kids (1995),"People vs. Larry Flynt, The (1996)","Last Days of Disco, The (1998)",Rudy (1993),Mo' Better Blues (1990),Dirty Dancing (1987),Eve's Bayou (1997),Indecent Proposal (1993)
"Devil's Own, The (1997)","Devil's Own, The (1997)",Blown Away (1994),Days of Thunder (1990),Rambo III (1988),"Jackal, The (1997)",Under Siege 2: Dark Territory (1995),Die Hard: With a Vengeance (1995),Lethal Weapon 3 (1992),Striking Distance (1993),Rocky V (1990)
Dolores Claiborne (1994),Dolores Claiborne (1994),Basic Instinct (1992),"Client, The (1994)",Blink (1994),Red Rock West (1992),Malice (1993),"Firm, The (1993)",Boxing Helena (1993),Kalifornia (1993),Copycat (1995)
"People vs. Larry Flynt, The (1996)","People vs. Larry Flynt, The (1996)",Boogie Nights (1997),Basic Instinct (1992),Carlito's Way (1993),Quiz Show (1994),Primary Colors (1998),Leaving Las Vegas (1995),Jackie Brown (1997),JFK (1991),True Romance (1993)
Crimson Tide (1995),Crimson Tide (1995),"Hunt for Red October, The (1990)",Schindler's List (1993),Die Hard 2 (1990),"Firm, The (1993)",Patriot Games (1992),"Rock, The (1996)",Clear and Present Danger (1994),"Fugitive, The (1993)",Ransom (1996)
Desperado (1995),Desperado (1995),Die Hard: With a Vengeance (1995),Blade (1998),"Long Kiss Goodnight, The (1996)",From Dusk Till Dawn (1996),"Jackal, The (1997)",Tomorrow Never Dies (1997),Die Hard 2 (1990),Batman Returns (1992),Lethal Weapon 3 (1992)
Hamlet (1996),Hamlet (1996),Hamlet (1990),Edward Scissorhands (1990),"Truman Show, The (1998)","People vs. Larry Flynt, The (1996)",Elizabeth (1998),Henry V (1989),Searching for Bobby Fischer (1993),Awakenings (1990),Apollo 13 (1995)
Rudy (1993),Rudy (1993),"Man Without a Face, The (1993)",Home Alone 2: Lost in New York (1992),Happy Gilmore (1996),Tommy Boy (1995),Robin Hood: Prince of Thieves (1991),White Men Can't Jump (1992),Dumb & Dumber (1994),"Mighty Ducks, The (1992)","Rainmaker, The (1997)"
Schindler's List (1993),Schindler's List (1993),"Shawshank Redemption, The (1994)",GoodFellas (1990),Fargo (1996),Saving Private Ryan (1998),"Godfather, The (1972)",Pulp Fiction (1994),Star Wars: Episode V - The Empire Strikes Back (1980),"Silence of the Lambs, The (1991)",Good Will Hunting (1997)
"Firm, The (1993)","Firm, The (1993)","Client, The (1994)",Ransom (1996),Enemy of the State (1998),Speed (1994),Primal Fear (1996),Patriot Games (1992),Clear and Present Danger (1994),"Pelican Brief, The (1993)",Cape Fear (1991)
Deconstructing Harry (1997),Deconstructing Harry (1997),Mighty Aphrodite (1995),Trees Lounge (1996),Bad Lieutenant (1992),Glengarry Glen Ross (1992),Beautiful Girls (1996),"Doors, The (1991)",True Romance (1993),"Crying Game, The (1992)",Six Degrees of Separation (1993)
Akira (1988),Akira (1988),Spawn (1997),Tron (1982),X-Men (2000),Superman II (1980),Dark City (1998),"Dark Crystal, The (1982)",Predator (1987),Army of Darkness (1993),Star Wars: Episode V - The Empire Strikes Back (1980)
Good Will Hunting (1997),Good Will Hunting (1997),Apollo 13 (1995),"Shawshank Redemption, The (1994)",Jerry Maguire (1996),Pulp Fiction (1994),Schindler's List (1993),Fargo (1996),As Good As It Gets (1997),"Truman Show, The (1998)","Silence of the Lambs, The (1991)"
Cyrano de Bergerac (1990),Cyrano de Bergerac (1990),"English Patient, The (1996)",Platoon (1986),Shadowlands (1993),Wild Bill (1995),Henry V (1989),"Last of the Mohicans, The (1992)",Indochine (1992),Doctor Zhivago (1965),Saving Private Ryan (1998)
Edward Scissorhands (1990),Edward Scissorhands (1990),"Truman Show, The (1998)",Fargo (1996),What's Eating Gilbert Grape (1993),Braveheart (1995),Jerry Maguire (1996),"Silence of the Lambs, The (1991)",Boogie Nights (1997),Pulp Fiction (1994),Stand by Me (1986)
Chasing Amy (1997),Chasing Amy (1997),Clerks (1994),Swingers (1996),Pulp Fiction (1994),"People vs. Larry Flynt, The (1996)",Dazed and Confused (1993),Clueless (1995),Mallrats (1995),Trainspotting (1996),GoodFellas (1990)
"Prince of Tides, The (1991)","Prince of Tides, The (1991)","Bridges of Madison County, The (1995)",How to Make an American Quilt (1995),"Horse Whisperer, The (1998)",Pretty Woman (1990),Mommie Dearest (1981),Heartburn (1986),Philadelphia (1993),Scent of a Woman (1992),Terms of Endearment (1983)
What Dreams May Come (1998),What Dreams May Come (1998),Practical Magic (1998),Sleepless in Seattle (1993),"Saint, The (1997)",Meet Joe Black (1998),Philadelphia (1993),Notting Hill (1999),City of Angels (1998),Twister (1996),True Lies (1994)
JFK (1991),JFK (1991),Carlito's Way (1993),Scent of a Woman (1992),Quiz Show (1994),"People vs. Larry Flynt, The (1996)",Philadelphia (1993),Jerry Maguire (1996),Donnie Brasco (1997),Primary Colors (1998),Apollo 13 (1995)
"Mask of Zorro, The (1998)","Mask of Zorro, The (1998)",GoldenEye (1995),True Lies (1994),Mission: Impossible (1996),Twister (1996),Con Air (1997),Maverick (1994),Batman (1989),"Rock, The (1996)",Batman Returns (1992)
Fargo (1996),Fargo (1996),Pulp Fiction (1994),"Silence of the Lambs, The (1991)","Shawshank Redemption, The (1994)",L.A. Confidential (1997),"Usual Suspects, The (1995)",GoodFellas (1990),"Sixth Sense, The (1999)",American Beauty (1999),"Godfather, The (1972)"
Heaven & Earth (1993),Heaven & Earth (1993),Earthquake (1974),Little Buddha (1993),Country (1984),Orlando (1993),"Two Jakes, The (1990)",Rollercoaster (1977),Madame Sousatzka (1988),Seven Years in Tibet (1997),"Rapture, The (1991)"
Midnight in the Garden of Good and Evil (1997),Midnight in the Garden of Good and Evil (1997),Wag the Dog (1997),Cop Land (1997),"Big Lebowski, The (1998)",Wild Things (1998),To Die For (1995),L.A. Confidential (1997),Get Shorty (1995),"Full Monty, The (1997)",JFK (1991)
Six Degrees of Separation (1993),Six Degrees of Separation (1993),Deconstructing Harry (1997),"People vs. Larry Flynt, The (1996)",Basquiat (1996),I Shot Andy Warhol (1996),Death and the Maiden (1994),Tie Me Up! Tie Me Down! (1990),Glengarry Glen Ross (1992),Trees Lounge (1996),Mighty Aphrodite (1995)
Street Fighter (1994),Street Fighter (1994),Double Team (1997),Steel (1997),Fire Down Below (1997),Mortal Kombat (1995),"Next Karate Kid, The (1994)","Cowboy Way, The (1994)",Sudden Death (1995),Stop! Or My Mom Will Shoot (1992),"Glimmer Man, The (1996)"
Hilary and Jackie (1998),Hilary and Jackie (1998),Trick (1999),"Evening Star, The (1996)",Orlando (1993),Little Voice (1998),Faithful (1996),Avalanche (1978),"Winter Guest, The (1997)","Designated Mourner, The (1997)",I Married A Strange Person (1997)
Shine (1996),Shine (1996),Leaving Las Vegas (1995),Dead Man Walking (1995),Schindler's List (1993),Edward Scissorhands (1990),"Fisher King, The (1991)",Jerry Maguire (1996),Fargo (1996),Chasing Amy (1997),"English Patient, The (1996)"
Malcolm X (1992),Malcolm X (1992),Casino (1995),GoodFellas (1990),Searching for Bobby Fischer (1993),"Fisher King, The (1991)","People vs. Larry Flynt, The (1996)",Do the Right Thing (1989),Boogie Nights (1997),JFK (1991),Carlito's Way (1993)
Any Given Sunday (1999),Any Given Sunday (1999),"Patriot, The (2000)",U-571 (2000),High Fidelity (2000),Gladiator (2000),"Game, The (1997)",Magnolia (1999),"Perfect Storm, The (2000)",Casino (1995),Wonder Boys (2000)
"Bridges of Madison County, The (1995)","Bridges of Madison County, The (1995)","Prince of Tides, The (1991)",Philadelphia (1993),"English Patient, The (1996)",Jerry Maguire (1996),My Best Friend's Wedding (1997),Far and Away (1992),Practical Magic (1998),Pretty Woman (1990),Titanic (1997)
Star Wars: Episode VI - Return of the Jedi (1983),Star Wars: Episode VI - Return of the Jedi (1983),Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode IV - A New Hope (1977),Aliens (1986),Indiana Jones and the Last Crusade (1989),Alien (1979),"Matrix, The (1999)",Back to the Future (1985),Raiders of the Lost Ark (1981),Batman (1989)
GoodFellas (1990),GoodFellas (1990),Pulp Fiction (1994),"Godfather: Part II, The (1974)",Fargo (1996),Schindler's List (1993),"Usual Suspects, The (1995)","Godfather, The (1972)","Silence of the Lambs, The (1991)",L.A. Confidential (1997),"Shawshank Redemption, The (1994)"
Awakenings (1990),Awakenings (1990),Apollo 13 (1995),Quiz Show (1994),Good Will Hunting (1997),Philadelphia (1993),As Good As It Gets (1997),Jerry Maguire (1996),Field of Dreams (1989),Thelma & Louise (1991),"Shawshank Redemption, The (1994)"
Alive (1993),Alive (1993),Casino (1995),Philadelphia (1993),"Blair Witch Project, The (1999)",As Good As It Gets (1997),"Firm, The (1993)",Pulp Fiction (1994),"Truman Show, The (1998)",Midnight in the Garden of Good and Evil (1997),Schindler's List (1993)
Scent of a Woman (1992),Scent of a Woman (1992),Philadelphia (1993),JFK (1991),Jerry Maguire (1996),Good Will Hunting (1997),"Firm, The (1993)","Truman Show, The (1998)",Mr. Holland's Opus (1995),Titanic (1997),"People vs. Larry Flynt, The (1996)"
Titanic (1997),Titanic (1997),Jerry Maguire (1996),Forrest Gump (1994),As Good As It Gets (1997),Good Will Hunting (1997),Pretty Woman (1990),"Sixth Sense, The (1999)","Truman Show, The (1998)",Apollo 13 (1995),"English Patient, The (1996)"
"Inkwell, The (1994)","Inkwell, The (1994)",T-Men (1947),Cyclo (1995),Picture Bride (1995),All the Vermeers in New York (1990),Bandit Queen (1994),Ladybird Ladybird (1994),Kundun (1997),Aparajito (1956),Queens Logic (1991)
Patriot Games (1992),Patriot Games (1992),Clear and Present Danger (1994),"Hunt for Red October, The (1990)","Rock, The (1996)",Speed (1994),"Fugitive, The (1993)",Die Hard 2 (1990),True Lies (1994),Air Force One (1997),Enemy of the State (1998)
North by Northwest (1959),North by Northwest (1959),Vertigo (1958),Rear Window (1954),Psycho (1960),Citizen Kane (1941),Casablanca (1942),"Manchurian Candidate, The (1962)","Godfather, The (1972)",Chinatown (1974),"Bridge on the River Kwai, The (1957)"
"Bodyguard, The (1992)","Bodyguard, The (1992)",Die Hard 2 (1990),Backdraft (1991),"Saint, The (1997)",Twister (1996),True Lies (1994),Outbreak (1995),Speed (1994),"Rock, The (1996)",Die Hard: With a Vengeance (1995)
Gattaca (1997),Gattaca (1997),"Matrix, The (1999)","Fifth Element, The (1997)",Total Recall (1990),Contact (1997),Men in Black (1997),Dark City (1998),Face/Off (1997),Star Trek VI: The Undiscovered Country (1991),Star Trek: First Contact (1996)
Men in Black (1997),Men in Black (1997),Jurassic Park (1993),"Matrix, The (1999)",Terminator 2: Judgment Day (1991),Total Recall (1990),"Fifth Element, The (1997)",Star Wars: Episode I - The Phantom Menace (1999),Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode VI - Return of the Jedi (1983)
Braveheart (1995),Braveheart (1995),Terminator 2: Judgment Day (1991),"Fugitive, The (1993)",Jurassic Park (1993),"Matrix, The (1999)",Star Wars: Episode V - The Empire Strikes Back (1980),"Hunt for Red October, The (1990)",Die Hard (1988),Raiders of the Lost Ark (1981),Men in Black (1997)
Taxi Driver (1976),Taxi Driver (1976),Apocalypse Now (1979),"Deer Hunter, The (1978)","Godfather, The (1972)","Godfather: Part II, The (1974)",Psycho (1960),GoodFellas (1990),"French Connection, The (1971)",Raging Bull (1980),Fargo (1996)
Far and Away (1992),Far and Away (1992),Pretty Woman (1990),Jerry Maguire (1996),Phenomenon (1996),Ghost (1990),Scent of a Woman (1992),My Best Friend's Wedding (1997),"American President, The (1995)",Titanic (1997),You've Got Mail (1998)
"Girl, Interrupted (1999)","Girl, Interrupted (1999)","Green Mile, The (1999)",Far and Away (1992),Philadelphia (1993),Leaving Las Vegas (1995),Anna and the King (1999),Man on the Moon (1999),To Die For (1995),Dolores Claiborne (1994),Good Will Hunting (1997)
Cop Land (1997),Cop Land (1997),Rounders (1998),JFK (1991),Donnie Brasco (1997),Midnight in the Garden of Good and Evil (1997),2 Days in the Valley (1996),"Devil's Advocate, The (1997)",Boogie Nights (1997),L.A. Confidential (1997),Ronin (1998)
"Godfather: Part III, The (1990)","Godfather: Part III, The (1990)","Godfather: Part II, The (1974)",Saving Private Ryan (1998),Carlito's Way (1993),Casino (1995),GoodFellas (1990),Die Hard 2 (1990),Full Metal Jacket (1987),Natural Born Killers (1994),True Lies (1994)
Nixon (1995),Nixon (1995),"Last Days of Disco, The (1998)",Primary Colors (1998),Michael Collins (1996),Basic Instinct (1992),Deconstructing Harry (1997),"People vs. Larry Flynt, The (1996)",Welcome to the Dollhouse (1995),Quiz Show (1994),"Doors, The (1991)"
Saving Private Ryan (1998),Saving Private Ryan (1998),Schindler's List (1993),"Godfather: Part II, The (1974)",Full Metal Jacket (1987),Blade Runner (1982),Lethal Weapon (1987),Apocalypse Now (1979),Batman (1989),GoodFellas (1990),"Good Morning, Vietnam (1987)"
What's Eating Gilbert Grape (1993),What's Eating Gilbert Grape (1993),Edward Scissorhands (1990),Quiz Show (1994),Searching for Bobby Fischer (1993),Boogie Nights (1997),Sling Blade (1996),Pulp Fiction (1994),Ed Wood (1994),Good Will Hunting (1997),Big Night (1996)
