Mission: Impossible (1996),Total Recall (1990),Gladiator (2000),X-Men (2000),"Hunt for Red October, The (1990)",Terminator 2: Judgment Day (1991),Heat (1995),Demolition Man (1993),"Rock, The (1996)",Speed (1994),Enemy of the State (1998),Star Wars: Episode V - The Empire Strikes Back (1980)
3910,3,4,4,0,4,4,0,0,3,3,3,0
3963,2,2,4,0,4,3,0,0,0,0,5,0
3984,4,0,0,0,0,4,4,0,4,4,4,0
3993,3,2,0,0,3,4,0,0,0,3,4,0
4021,4,4,0,0,4,4,0,3,4,4,3,0
4048,4,0,0,0,5,3,0,0,4,4,0,0
4058,4,3,5,4,5,4,4,1,2,5,4,0
4079,3,0,0,0,4,4,5,0,0,4,4,0
4084,4,0,5,0,0,0,0,0,0,0,0,0
4130,4,3,5,0,3,5,4,0,4,3,0,0
4139,3,0,0,4,5,0,4,0,3,0,4,0
4227,5,4,0,4,5,5,4,2,4,5,4,0
4268,5,0,0,0,4,0,0,0,0,2,0,0
4271,3,3,2,0,5,3,0,0,0,2,5,0
4299,5,0,0,0,4,0,0,0,0,4,5,0
4305,4,4,5,4,5,4,4,0,4,4,5,0
4318,4,4,0,0,4,4,4,0,3,4,0,0
4342,5,4,0,0,0,5,0,4,0,2,0,0
4470,5,4,0,4,5,4,0,4,4,4,5,0
4487,4,3,5,0,4,3,4,4,4,0,0,0
4535,4,3,0,0,4,0,4,0,4,3,0,0
4637,2,5,0,0,0,0,0,0,0,0,3,0
4659,5,4,0,0,0,0,0,0,5,4,4,0
4675,3,0,0,5,5,0,0,0,3,3,0,0
4702,4,0,0,0,0,0,0,0,0,0,0,0
4715,3,4,3,0,4,3,5,4,4,4,5,0
4719,5,4,0,0,0,0,0,0,5,0,0,0
4728,3,4,4,4,4,4,3,3,3,4,0,0
4729,4,0,0,0,0,0,0,0,4,0,0,0
4773,3,0,5,0,0,5,0,0,5,0,4,0
4774,4,5,5,0,0,5,4,0,0,4,3,0
4857,2,1,0,0,4,3,0,0,3,2,3,0
4957,3,3,0,0,4,3,3,2,3,3,0,0
4975,4,0,0,0,4,4,0,0,4,0,4,0
4983,2,0,0,0,0,3,0,0,0,0,0,0
5091,3,0,3,3,5,5,0,2,3,5,3,0
5096,4,1,4,4,0,0,0,1,0,0,0,0
5129,4,4,0,0,0,4,0,0,0,4,0,0
5205,3,4,5,5,4,5,0,0,4,1,4,0
5219,3,4,5,0,5,5,0,0,0,4,4,0
5232,3,4,0,0,0,1,0,0,0,0,0,0
5249,2,4,0,0,5,0,3,3,5,4,5,0
5318,4,3,0,0,0,0,0,0,0,3,0,0
5319,4,4,4,4,4,5,0,0,0,3,0,0
5336,4,0,0,0,5,0,0,0,5,0,0,0
5390,4,2,0,0,4,4,2,0,3,4,3,0
5395,3,0,0,0,0,0,0,0,0,0,0,0
5430,1,0,0,0,0,0,0,0,0,3,0,0
5493,2,0,2,2,3,2,4,0,2,4,0,0
5512,4,4,5,0,4,0,5,0,0,4,4,0
5536,2,3,4,5,2,4,5,2,3,4,3,0
5543,4,4,3,5,0,5,0,4,4,4,4,0
5550,4,4,5,0,5,5,4,3,4,5,5,0
5558,4,0,0,0,0,0,0,0,0,0,0,0
5576,4,4,5,0,5,4,0,3,0,4,5,0
5599,3,3,4,0,4,5,0,0,4,4,0,0
5614,4,4,0,0,4,5,4,4,5,5,4,0
5657,4,4,0,0,5,4,0,0,4,4,0,0
5675,3,0,0,0,5,4,3,0,4,5,5,0
5677,4,0,0,0,4,0,0,0,4,3,4,0
5686,2,3,4,0,1,3,3,0,1,4,2,0
5689,4,0,5,3,5,4,4,0,5,5,5,0
5691,5,4,0,0,0,0,0,0,5,0,0,0
5769,4,4,4,0,0,4,0,0,0,0,0,0
5788,1,2,0,0,5,5,0,1,4,2,3,0
5831,4,4,4,3,4,4,4,2,4,4,3,0
5837,4,5,5,3,5,5,5,4,5,5,4,0
5847,3,4,0,0,5,0,0,4,5,0,0,0
5851,4,0,0,0,0,5,0,0,5,0,0,0
5862,5,5,0,0,0,5,5,5,5,5,0,0
5880,5,4,4,5,4,5,4,2,3,3,4,0
5890,4,4,0,0,5,5,0,0,1,3,0,0
5908,4,3,0,0,5,3,0,4,4,3,0,0
5915,3,3,4,0,5,5,4,0,4,4,0,0
5926,4,0,0,0,5,4,0,0,4,5,0,0
5961,3,3,0,0,3,3,4,0,3,3,2,0
6007,4,3,0,0,5,3,0,0,5,0,5,0
6010,4,5,0,0,5,5,0,0,3,3,0,0
8,0,5,0,0,0,5,0,0,3,4,0,0
163,0,3,5,0,0,5,2,3,2,3,2,2
175,0,3,5,0,0,0,0,0,0,0,0,5
205,0,3,0,0,3,5,0,0,0,0,0,3
236,0,3,0,4,2,4,0,0,0,0,0,5
295,0,5,4,5,5,5,5,0,4,3,3,5
456,0,3,5,0,5,4,0,0,3,4,0,4
516,0,4,4,2,4,5,0,2,0,0,0,4
526,0,3,5,0,0,4,4,0,0,3,0,4
557,0,4,0,3,0,5,0,0,0,0,0,4
585,0,4,4,4,0,4,0,0,0,0,0,5
608,0,3,3,0,3,0,0,0,0,0,0,3
652,0,5,0,2,4,0,2,3,5,2,0,0
733,0,4,0,0,0,4,0,0,0,0,0,0
801,0,3,0,0,0,4,0,0,0,0,0,5
808,0,4,4,4,3,5,4,0,0,0,4,5
820,0,5,0,5,0,5,0,4,0,0,0,5
863,0,4,2,0,5,5,4,0,0,4,0,5
1005,0,4,0,0,5,4,0,0,0,0,0,0
1063,0,5,0,5,5,5,0,0,4,5,5,5
1094,0,3,4,4,3,0,0,0,0,0,3,4
1119,0,4,5,0,0,5,0,4,0,0,0,5
1122,0,4,0,0,0,4,0,0,0,0,0,4
1140,0,4,5,0,0,4,0,0,0,0,0,5
1152,0,3,4,0,0,5,0,0,2,0,0,0
1183,0,2,0,0,3,2,0,0,0,0,0,5
1267,0,4,0,0,0,5,5,0,0,0,0,3
1369,0,4,0,4,4,5,0,0,0,0,4,5
1383,0,4,4,0,3,3,0,0,0,4,0,5
1498,0,4,5,4,0,4,0,0,4,0,0,4
1514,0,5,0,4,0,5,0,5,0,0,0,5
1560,0,4,5,2,0,0,0,0,0,5,0,4
1597,0,5,2,5,0,5,2,0,0,2,0,0
1630,0,3,0,0,0,3,0,2,0,0,0,0
1637,0,4,0,0,0,4,0,0,0,0,0,0
1643,0,5,0,0,4,5,0,0,4,5,0,0
1690,0,5,0,4,0,3,0,0,0,4,0,0
1722,0,5,0,0,0,5,0,0,0,0,0,4
1761,0,1,0,0,0,0,0,3,0,0,0,2
1856,0,5,0,5,0,5,0,5,0,0,0,5
1925,0,4,2,0,3,0,2,0,2,2,0,5
1939,0,4,0,0,0,0,0,0,4,0,0,4
2096,0,4,0,0,0,4,0,0,0,4,0,4
2098,0,2,0,5,3,5,3,3,4,4,3,5
2145,0,4,0,5,0,5,0,4,0,0,0,5
2147,0,4,0,0,0,4,0,2,0,0,0,0
2239,0,4,5,4,0,5,0,0,0,0,0,5
2240,0,5,0,0,5,5,0,0,0,0,0,5
2299,0,3,0,3,0,4,0,3,0,0,0,5
2300,0,4,0,0,0,0,0,0,0,4,0,4
2330,0,4,0,0,0,3,0,0,0,0,0,4
2429,0,5,0,0,0,5,0,0,0,0,0,4
2627,0,4,0,3,0,1,3,0,0,3,0,4
2689,0,4,5,0,0,0,0,0,0,0,0,5
2727,0,4,0,0,4,4,0,0,0,0,0,5
2752,0,4,0,0,4,5,0,0,0,0,0,4
2764,0,4,0,0,5,4,0,0,0,0,3,5
2774,0,4,4,4,4,4,0,0,0,0,0,5
2844,0,3,0,3,4,3,0,0,4,0,2,5
2901,0,4,0,0,5,4,0,0,0,0,0,0
2918,0,4,3,4,4,4,0,0,2,3,3,5
2921,0,4,0,0,0,0,0,0,0,0,0,4
2943,0,5,5,4,0,4,0,0,0,0,0,4
3005,0,2,0,0,0,5,0,0,0,0,0,5
3080,0,4,4,3,2,4,2,0,0,0,0,5
3110,0,1,3,2,4,2,0,0,0,0,0,3
3119,0,2,0,0,4,5,0,0,0,0,0,5
3136,0,3,0,5,0,4,0,0,0,0,0,5
3157,0,4,0,4,3,4,0,0,0,0,4,4
3182,0,2,4,5,0,3,4,0,0,4,3,5
3191,0,4,5,5,5,4,3,4,5,5,4,5
3281,0,4,0,0,5,4,5,0,4,4,4,5
3297,0,4,5,4,0,4,0,0,4,0,3,0
3377,0,4,0,5,4,0,4,0,4,4,5,0
3423,0,4,5,4,0,4,0,4,0,4,0,5
3459,0,4,0,3,0,0,0,0,0,0,0,0
3461,0,5,0,0,5,5,0,0,0,0,0,0
3475,0,3,4,0,4,3,5,0,2,2,2,4
3511,0,4,0,5,5,5,0,0,0,0,0,0
3534,0,3,0,0,4,5,0,0,0,0,0,0
3568,0,4,0,0,0,4,0,0,0,0,0,0
3607,0,4,0,4,0,4,0,3,0,0,0,0
3661,0,5,3,4,4,4,0,0,0,3,0,0
3666,0,3,0,0,0,4,0,0,0,0,0,0
3676,0,3,0,3,0,0,0,0,0,0,0,0
3678,0,2,4,4,0,4,0,0,0,0,0,0
3705,0,3,4,0,4,4,0,0,0,4,3,0
3711,0,5,0,4,0,4,0,0,0,0,0,0
3742,0,5,0,0,0,4,4,0,0,4,0,0
3816,0,5,0,0,4,5,0,4,0,0,0,0
3850,0,5,4,3,0,5,0,0,0,0,0,0
3914,0,3,0,0,4,5,2,0,5,4,0,0
3931,0,4,5,0,0,4,0,0,0,3,0,0
3937,0,4,0,0,5,4,0,0,3,0,0,0
4034,0,5,3,0,0,5,0,0,0,0,0,0
4070,0,3,0,4,4,5,5,1,0,4,0,0
4138,0,4,0,5,0,5,0,4,0,0,0,0
4144,0,3,0,0,0,4,4,0,0,0,0,0
4172,0,4,0,0,0,5,0,0,0,0,0,0
4182,0,4,4,5,0,4,0,0,0,0,0,0
4190,0,4,0,0,0,0,0,0,0,0,0,0
4241,0,4,2,5,0,5,0,4,0,0,0,0
4272,0,5,0,4,0,5,0,0,0,0,0,0
4302,0,4,0,0,5,0,0,0,0,0,4,0
4306,0,4,0,0,5,0,0,0,0,3,0,0
4354,0,4,0,0,5,5,0,0,0,4,4,0
4401,0,3,2,0,4,4,0,0,0,5,0,0
4403,0,4,0,4,4,5,3,0,0,0,0,0
4415,0,4,5,4,0,5,0,0,0,0,0,0
4450,0,2,0,0,0,2,0,0,0,0,0,0
4490,0,4,0,0,4,4,5,0,0,0,0,0
4506,0,3,4,4,0,4,4,0,0,0,0,0
4509,0,4,0,0,5,4,0,0,4,0,0,0
4552,0,4,4,3,4,5,0,0,3,0,3,0
4560,0,5,0,5,0,4,0,0,0,3,3,0
4640,0,4,0,3,1,5,0,0,3,3,0,0
4780,0,3,0,0,3,4,0,0,0,0,0,0
4814,0,3,5,0,0,3,5,0,0,0,0,0
4865,0,2,0,0,3,1,0,0,0,4,0,0
4978,0,4,0,0,0,0,0,0,0,0,0,0
5002,0,2,0,0,4,4,0,2,2,4,0,0
5059,0,3,0,0,0,4,5,0,0,3,4,0
5088,0,4,0,0,0,4,0,0,0,0,0,0
5156,0,5,4,0,5,4,0,0,0,3,4,0
5184,0,3,4,4,4,5,5,0,0,0,4,0
5204,0,5,0,0,0,5,0,0,0,0,0,0
5220,0,3,3,0,2,5,3,0,0,4,3,0
5223,0,2,0,3,0,3,0,0,0,3,0,0
5230,0,4,0,0,4,3,0,0,4,3,4,0
5278,0,5,0,5,0,0,0,0,0,0,0,0
5335,0,3,0,0,0,5,0,0,0,0,0,0
5338,0,4,0,0,0,5,0,3,0,0,0,0
5366,0,3,0,0,4,4,5,0,0,2,4,0
5371,0,4,4,0,4,4,2,0,3,5,4,0
5386,0,4,5,5,3,4,0,0,4,3,0,0
5418,0,4,0,0,4,4,0,0,1,0,0,0
5434,0,4,0,0,3,5,0,0,0,0,0,0
5435,0,3,0,0,4,4,0,0,0,0,4,0
5437,0,3,0,0,4,4,0,0,0,0,4,0
5443,0,3,0,0,0,5,5,0,5,4,0,0
5453,0,5,4,5,5,5,2,3,4,3,4,0
5477,0,3,0,0,0,0,0,0,0,0,0,0
5510,0,4,5,0,5,3,0,0,0,0,0,0
5534,0,5,5,0,0,0,0,0,0,0,0,0
5556,0,1,0,0,0,4,0,0,0,0,0,0
5569,0,1,0,0,0,0,0,0,0,2,0,0
5654,0,4,4,4,4,4,0,0,4,3,3,0
5655,0,4,5,0,0,4,0,0,0,4,3,0
5662,0,2,0,0,2,0,0,0,5,0,4,0
5687,0,4,0,0,0,0,0,0,5,0,0,0
5698,0,4,0,0,0,4,0,0,0,0,0,0
5699,0,3,4,0,3,4,0,1,0,0,2,0
5701,0,2,0,0,4,4,0,0,0,0,0,0
5710,0,3,0,0,0,0,0,0,0,4,0,0
5715,0,4,5,0,5,0,0,0,2,2,0,0
5716,0,4,0,0,0,4,5,0,0,0,0,0
5718,0,5,4,0,0,5,0,0,0,5,4,0
5732,0,4,0,0,0,0,0,0,3,0,0,0
5746,0,4,4,0,0,5,0,0,0,0,0,0
5771,0,3,0,0,0,0,0,0,0,0,0,0
5815,0,2,4,0,0,3,0,0,0,4,0,0
5852,0,3,0,0,0,2,0,0,0,2,0,0
5878,0,3,4,5,0,3,0,0,4,4,4,0
5911,0,2,0,0,0,3,0,0,0,0,3,0
5939,0,5,0,0,4,0,0,0,0,0,0,0
6030,0,4,0,0,0,5,0,4,0,0,0,0
6035,0,1,0,0,0,1,0,0,0,0,0,0
14,0,0,4,0,0,0,0,0,0,0,0,0
61,0,0,4,3,0,0,0,0,0,0,0,0
63,0,0,5,2,0,0,5,0,0,0,0,0
76,0,0,5,4,0,0,0,0,0,0,0,0
87,0,0,5,4,5,5,0,0,5,1,0,5
142,0,0,4,4,0,3,0,0,0,0,0,4
416,0,0,5,0,0,0,0,0,0,0,0,0
508,0,0,4,4,0,4,0,0,0,0,0,3
590,0,0,2,3,0,0,0,0,0,0,0,0
616,0,0,4,3,0,5,0,0,0,0,0,5
621,0,0,5,4,0,4,0,0,0,0,0,5
671,0,0,3,0,0,4,0,0,0,0,0,5
875,0,0,5,3,0,0,0,0,0,0,0,3
936,0,0,4,3,0,0,0,0,0,4,0,0
1009,0,0,5,0,0,0,0,0,0,0,0,0
1026,0,0,4,0,0,0,0,0,0,0,0,0
1034,0,0,4,2,0,0,0,0,0,0,3,4
1129,0,0,5,0,0,5,0,0,0,0,0,5
1268,0,0,3,0,0,0,0,0,0,0,0,5
1335,0,0,2,0,0,4,0,0,0,0,0,2
1366,0,0,2,5,0,0,0,0,0,5,0,0
1370,0,0,5,3,0,0,0,0,0,5,0,0
1710,0,0,2,4,0,0,0,3,0,0,0,0
1716,0,0,4,0,0,0,0,0,3,0,0,0
1739,0,0,4,3,5,0,0,0,0,0,0,3
1767,0,0,4,3,0,3,3,0,0,0,0,4
1785,0,0,5,4,0,0,0,0,5,0,0,0
1992,0,0,4,0,0,0,0,0,0,0,0,0
2000,0,0,4,4,0,0,0,0,0,0,0,4
2058,0,0,4,0,0,4,0,0,0,0,0,0
2245,0,0,1,2,0,0,0,0,0,0,0,0
2246,0,0,3,3,4,1,4,0,3,2,0,5
2247,0,0,2,0,0,0,0,0,0,0,0,5
2427,0,0,5,4,0,0,0,0,0,0,0,5
2469,0,0,3,0,0,4,0,0,0,0,0,0
2493,0,0,4,4,3,5,0,0,0,0,0,5
2537,0,0,4,0,4,3,2,0,0,0,0,4
2546,0,0,4,0,0,0,0,0,0,0,0,0
2603,0,0,5,0,0,0,0,0,3,0,0,0
2781,0,0,5,5,4,5,4,0,0,4,0,5
2787,0,0,5,0,0,5,0,0,0,0,0,5
2794,0,0,4,3,0,4,0,0,0,0,0,5
2802,0,0,2,0,0,4,0,0,0,0,0,0
2904,0,0,3,0,0,0,5,0,0,0,0,0
3087,0,0,5,5,2,0,5,4,5,4,0,0
3106,0,0,5,0,0,0,0,0,0,0,0,0
3260,0,0,5,4,4,5,0,0,0,0,0,4
3262,0,0,4,0,0,0,0,0,0,0,0,0
3341,0,0,3,5,0,5,3,0,0,0,0,0
3402,0,0,4,0,0,3,0,0,0,0,0,5
3430,0,0,2,0,3,2,0,0,0,0,0,4
3619,0,0,5,0,0,0,0,0,0,0,0,0
3672,0,0,3,0,0,0,0,0,4,5,0,0
3685,0,0,4,5,3,4,4,0,3,0,0,0
3810,0,0,5,0,0,0,0,0,0,0,0,0
3832,0,0,4,4,0,0,0,0,0,0,0,0
3894,0,0,4,4,0,0,0,0,0,0,0,0
3940,0,0,3,4,0,5,4,0,0,2,0,0
3956,0,0,5,0,0,0,0,0,0,0,0,0
3965,0,0,5,5,5,4,4,0,5,4,4,0
3976,0,0,5,0,0,0,0,0,0,0,0,0
4009,0,0,4,0,0,0,0,0,0,0,0,0
4242,0,0,5,0,5,5,0,0,4,3,0,0
4321,0,0,4,3,0,0,0,0,0,0,0,0
4337,0,0,5,5,5,4,0,0,0,0,0,0
4346,0,0,4,5,0,0,0,0,0,0,0,0
4421,0,0,4,3,0,0,0,0,0,0,0,0
4459,0,0,5,3,0,0,0,0,0,0,0,0
4528,0,0,3,2,0,0,0,0,0,0,0,0
4618,0,0,4,3,0,5,0,0,0,0,0,0
4624,0,0,5,0,5,4,0,0,0,0,0,0
4753,0,0,3,0,0,0,0,0,0,0,0,0
4796,0,0,4,0,0,4,0,0,0,0,0,0
4807,0,0,2,0,0,5,0,0,0,0,0,0
4849,0,0,5,0,0,0,0,0,0,0,0,0
4945,0,0,4,0,0,4,0,0,0,0,3,0
5034,0,0,4,0,0,4,0,0,4,3,0,0
5092,0,0,3,0,0,0,0,0,0,0,0,0
5093,0,0,4,0,0,0,0,0,4,3,0,0
5226,0,0,4,0,3,4,3,0,0,5,0,0
5231,0,0,5,0,0,0,0,0,0,0,0,0
5355,0,0,5,0,5,0,0,0,3,0,0,0
5378,0,0,1,0,0,0,0,0,0,0,0,0
5424,0,0,4,0,3,3,0,0,0,4,0,0
5529,0,0,5,0,0,0,0,0,0,0,0,0
5583,0,0,5,0,5,5,0,0,0,0,0,0
5653,0,0,3,0,4,0,0,0,0,0,4,0
5692,0,0,5,0,0,0,0,0,0,0,0,0
5712,0,0,5,0,3,0,5,0,3,3,0,0
5923,0,0,5,0,0,4,0,0,0,0,0,0
206,0,0,0,5,0,0,0,0,0,0,0,5
207,0,0,0,4,0,0,0,0,0,0,0,5
354,0,0,0,4,0,0,0,0,0,0,0,0
374,0,0,0,5,4,0,5,0,0,0,0,0
390,0,0,0,3,0,0,0,0,0,0,0,0
643,0,0,0,3,0,0,0,0,0,0,0,0
893,0,0,0,3,0,4,0,0,0,0,0,0
1017,0,0,0,4,0,4,0,0,0,4,0,0
