"title";"uri";"id";"uri_data_http://dbpedia.org/ontology/releaseDate";"uri_data_http://dbpedia.org/ontology/Work/runtime";"uri_data_http://dbpedia.org/ontology/wikiPageRevisionID";"uri_data_http://dbpedia.org/ontology/runtime";"uri_data_http://dbpedia.org/ontology/budget";"uri_data_http://dbpedia.org/ontology/wikiPageID";"uri_data_http://dbpedia.org/ontology/gross"
"Serial Mom (1994)";"http://dbpedia.org/resource/Serial_Mom";532.0;;93.0;6.04520727E8;5580.0;1.3E7;294520.0;7820688.0
"Proposition, The (1998)";"http://dbpedia.org/resource/The_Proposition_(1998_film)";1820.0;3/27/98 12:00 AM;110.0;5.93304509E8;6600.0;;3.3270003E7;
"Penitentiary (1979)";"http://dbpedia.org/resource/Penitentiary_(1979_film)";2954.0;;93.0;5.93165728E8;5580.0;100000.0;3.0885438E7;
"Sleepless in Seattle (1993)";"http://dbpedia.org/resource/Sleepless_in_Seattle";539.0;;106.0;5.95259296E8;6360.0;2.1E7;226198.0;2.27799884E8
"Sparrows (1926)";"http://dbpedia.org/resource/Sparrows_(1926_film)";2957.0;5/14/26 12:00 AM;84.0;5.86656522E8;5040.0;463000.0;1.3613782E7;
"Six Degrees of Separation (1993)";"http://dbpedia.org/resource/Six_Degrees_of_Separation_(film)";538.0;;112.0;6.01288092E8;6720.0;;1.8698236E7;6405918.0
"Barney's Great Adventure (1998)";"http://dbpedia.org/resource/Barney's_Great_Adventure";1826.0;3/30/98 12:00 AM;76.0;6.01795772E8;4560.0;1.5E7;5033651.0;1.2218638E7
"Someone to Watch Over Me (1987)";"http://dbpedia.org/resource/Someone_to_Watch_Over_Me_(film)";2956.0;10/9/87 12:00 AM;106.0;6.0525205E8;6360.0;1.7E7;7235116.0;1.0278549E7
"Sirens (1994)";"http://dbpedia.org/resource/Sirens_(film)";537.0;;;5.9392054E8;;;4.0480359E7;
"Fight Club (1999)";"http://dbpedia.org/resource/Fight_Club";2959.0;;139.0;6.06764703E8;8340.0;6.3E7;1009041.0;1.00853753E8
"Homegrown (1998)";"http://dbpedia.org/resource/Homegrown_(film)";1824.0;;115.0;6.05634974E8;6900.0;;1.1251963E7;77910.0
"Chinese Box (1997)";"http://dbpedia.org/resource/Chinese_Box";1829.0;;99.0;6.0397365E8;5940.0;;406704.0;
"Big One, The (1997)";"http://dbpedia.org/resource/The_Big_One_(film)";1827.0;4/10/98 12:00 AM;95.0;6.01452307E8;5700.0;;619964.0;720074.0
"Trois (2000)";"http://dbpedia.org/resource/Trois";3291.0;;93.0;6.05423223E8;5580.0;250000.0;9271903.0;1300000.0
"Soft Toilet Seats (1999)";"http://dbpedia.org/resource/Soft_Toilet_Seats";3290.0;;107.0;6.06655081E8;6420.0;;3.7990229E7;
"Raining Stones (1993)";"http://dbpedia.org/resource/Raining_Stones";3295.0;3/11/93 12:00 AM;90.0;5.87974324E8;5400.0;;7094792.0;
"Eaten Alive (1976)";"http://dbpedia.org/resource/Eaten_Alive";3294.0;;91.0;6.03356555E8;5460.0;;5135802.0;
"Conceiving Ada (1997)";"http://dbpedia.org/resource/Conceiving_Ada";3293.0;9/10/97 12:00 AM;85.0;5.95358676E8;5100.0;;5176136.0;
"Big Combo, The (1955)";"http://dbpedia.org/resource/The_Big_Combo";3292.0;;86.0;6.0424873E8;5160.0;;1564174.0;
"Hanging Up (2000)";"http://dbpedia.org/resource/Hanging_Up";3299.0;2/16/00 12:00 AM;94.0;5.98221399E8;5640.0;6.0E7;1942317.0;5.1880044E7
"Boiler Room (2000)";"http://dbpedia.org/resource/Boiler_Room_(film)";3298.0;;120.0;6.01478673E8;7200.0;2.6E7;837494.0;2.8780255E7
"With Byrd at the South Pole (1930)";"http://dbpedia.org/resource/With_Byrd_at_the_South_Pole";3297.0;6/19/30 12:00 AM;82.0;6.05914555E8;4920.0;;3.0985086E7;
"Grumpier Old Men (1995)";"http://dbpedia.org/resource/Grumpier_Old_Men";3.0;;101.0;6.0667537E8;6060.0;2.5E7;1934035.0;7.1518503E7
"Sliver (1993)";"http://dbpedia.org/resource/Sliver_(film)";540.0;5/21/93 12:00 AM;107.0;6.0677096E8;6420.0;4.0E7;1.10599E7;1.163E8
"Gilda (1946)";"http://dbpedia.org/resource/Gilda";2940.0;;110.0;6.04921306E8;6600.0;;1673949.0;
"Jumanji (1995)";"http://dbpedia.org/resource/Jumanji";2.0;;104.0;6.06711358E8;6240.0;6.5E7;3700174.0;2.62797249E8
"Toy Story (1995)";"http://dbpedia.org/resource/Toy_Story";1.0;;81.0;6.06576171E8;4860.0;3.0E7;53085.0;3.61958736E8
"Son in Law (1993)";"http://dbpedia.org/resource/Son_in_Law";542.0;7/2/93 12:00 AM;95.0;6.04889078E8;5700.0;;3779953.0;3.64484E7
"Blade Runner (1982)";"http://dbpedia.org/resource/Blade_Runner";541.0;;116.0;6.06582852E8;6960.0;2.8E7;3746.0;3.3770893E7
"Sabrina (1995)";"http://dbpedia.org/resource/Sabrina_(1995_film)";7.0;;127.0;6.00224911E8;7620.0;5.0E7;1356982.0;5.3458319E7
"Striking Distance (1993)";"http://dbpedia.org/resource/Striking_Distance";544.0;9/17/93 12:00 AM;101.0;6.06361206E8;6060.0;3.0E7;2130880.0;2.4107867E7
"Dirty Dozen, The (1967)";"http://dbpedia.org/resource/The_Dirty_Dozen";2944.0;6/15/67 12:00 AM;150.0;6.06083455E8;9000.0;5400000.0;309070.0;4.53E7
"Heat (1995)";"http://dbpedia.org/resource/Heat_(1995_film)";6.0;;170.0;6.0676267E8;10200.0;6.0E7;43566.0;1.87436818E8
"So I Married an Axe Murderer (1993)";"http://dbpedia.org/resource/So_I_Married_an_Axe_Murderer";543.0;7/30/93 12:00 AM;93.0;6.02634388E8;5580.0;2.0E7;212671.0;1.1585483E7
"Indochine (1992)";"http://dbpedia.org/resource/Indochine_(film)";2943.0;;159.0;5.99770555E8;9540.0;;770277.0;2.4795136E7
"Father of the Bride Part II (1995)";"http://dbpedia.org/resource/Father_of_the_Bride_Part_II";5.0;;106.0;5.88683681E8;6360.0;;3303622.0;7.6594107E7
"Super Mario Bros. (1993)";"http://dbpedia.org/resource/Super_Mario_Bros._(film)";546.0;;104.0;6.06711943E8;6240.0;4.8E7;210860.0;2.0915465E7
"Primary Colors (1998)";"http://dbpedia.org/resource/Primary_Colors_(film)";1810.0;;143.0;6.04981278E8;8580.0;6.5E7;1.0286355E7;5.2090187E7
"Flashdance (1983)";"http://dbpedia.org/resource/Flashdance";2942.0;;95.0;6.04783897E8;5700.0;7000000.0;168602.0;2.01463574E8
"Waiting to Exhale (1995)";"http://dbpedia.org/resource/Waiting_to_Exhale";4.0;;124.0;5.93342335E8;7440.0;1.6E7;972970.0;8.1452156E7
"Niagara, Niagara (1997)";"http://dbpedia.org/resource/Niagara,_Niagara";1811.0;8/30/97 12:00 AM;93.0;5.85190858E8;5580.0;;7064977.0;
"South Pacific (1958)";"http://dbpedia.org/resource/South_Pacific_(1958_film)";2941.0;;171.0;6.06248389E8;10260.0;5610000.0;1.1073939E7;3.68E7
"Terminal Velocity (1994)";"http://dbpedia.org/resource/Terminal_Velocity_(film)";548.0;9/23/94 12:00 AM;102.0;6.01734472E8;6120.0;5.0E7;4139688.0;1.64789E7
"Wide Awake (1998)";"http://dbpedia.org/resource/Wide_Awake_(1998_film)";1812.0;;88.0;6.01458852E8;5280.0;6000000.0;1041202.0;282175.0
"From Russia with Love (1963)";"http://dbpedia.org/resource/From_Russia_with_Love_(film)";2948.0;;115.0;6.05161523E8;6900.0;2000000.0;6446071.0;7.89E7
"Surviving the Game (1994)";"http://dbpedia.org/resource/Surviving_the_Game";547.0;4/15/94 12:00 AM;96.0;5.97647446E8;5760.0;7400000.0;3417075.0;7690013.0
"Goldfinger (1964)";"http://dbpedia.org/resource/Goldfinger_(film)";2947.0;;110.0;6.04628711E8;6600.0;3000000.0;6322029.0;1.249E8
"Sudden Death (1995)";"http://dbpedia.org/resource/Sudden_Death_(film)";9.0;;;5.73061502E8;;;4.0540648E7;
"Help! (1965)";"http://dbpedia.org/resource/Help!_(film)";2946.0;;96.0;6.05282632E8;5760.0;1500000.0;3869329.0;1.2066667E7
"Tom and Huck (1995)";"http://dbpedia.org/resource/Tom_and_Huck";8.0;12/22/95 12:00 AM;97.0;6.04709259E8;5820.0;;670514.0;2.3920048E7
"Mike's Murder (1984)";"http://dbpedia.org/resource/Mike's_Murder_(film)";2945.0;3/9/84 12:00 AM;109.0;5.96368123E8;6540.0;;2.2363271E7;1059966.0
"Two Girls and a Guy (1997)";"http://dbpedia.org/resource/Two_Girls_and_a_Guy";1816.0;4/24/98 12:00 AM;84.0;6.04110662E8;5040.0;1000000.0;8022263.0;2057193.0
"No Looking Back (1998)";"http://dbpedia.org/resource/No_Looking_Back";1817.0;3/27/98 12:00 AM;96.0;5.85881985E8;5760.0;5000000.0;1.2394296E7;222099.0
"Dr. No (1962)";"http://dbpedia.org/resource/Dr._No_(film)";2949.0;;109.0;6.05956194E8;6540.0;1100000.0;6446053.0;5.95E7
"Radioland Murders (1994)";"http://dbpedia.org/resource/Radioland_Murders";513.0;10/21/94 12:00 AM;112.0;5.98984445E8;6720.0;1.5E7;3017440.0;1316865.0
"Slappy and the Stinkers (1998)";"http://dbpedia.org/resource/Slappy_and_the_Stinkers";1843.0;1/23/98 12:00 AM;78.0;5.92811955E8;4680.0;;2.0548913E7;
"Best Man, The (1999)";"http://dbpedia.org/resource/The_Best_Man_(1999_film)";2975.0;10/22/99 12:00 AM;120.0;6.04354367E8;7200.0;9000000.0;2880425.0;3.457378E7
"Live Flesh (1997)";"http://dbpedia.org/resource/Live_Flesh_(film)";1844.0;;103.0;5.81451256E8;6180.0;;3950291.0;1713459.0
"Bats (1999)";"http://dbpedia.org/resource/Bats_(film)";2974.0;;91.0;6.04393085E8;5460.0;6500000.0;1.1107075E7;1.015569E7
"Program, The (1993)";"http://dbpedia.org/resource/The_Program";511.0;9/24/93 12:00 AM;112.0;5.99762756E8;6720.0;2.8E7;3475071.0;2.3032565E7
"Gingerbread Man, The (1998)";"http://dbpedia.org/resource/The_Gingerbread_Man_(film)";1841.0;;114.0;6.00543382E8;6840.0;2.5E7;6389163.0;1534569.0
"Crazy in Alabama (1999)";"http://dbpedia.org/resource/Crazy_in_Alabama";2977.0;10/22/99 12:00 AM;111.0;5.69634932E8;6660.0;1.5E7;5499151.0;2005840.0
"Poetic Justice (1993)";"http://dbpedia.org/resource/Poetic_Justice_(film)";510.0;7/23/93 12:00 AM;109.0;6.02086132E8;6540.0;1.4E7;1962192.0;2.7515786E7
"Illtown (1996)";"http://dbpedia.org/resource/Illtown";1842.0;1/16/98 12:00 AM;103.0;6.03667957E8;6180.0;;2.5997684E7;
"Bringing Out the Dead (1999)";"http://dbpedia.org/resource/Bringing_Out_the_Dead";2976.0;10/22/99 12:00 AM;121.0;5.9888556E8;7260.0;5.5E7;348356.0;1.6797191E7
"All That Jazz (1979)";"http://dbpedia.org/resource/All_That_Jazz_(film)";2971.0;;123.0;5.98916258E8;7380.0;1.2E7;68078.0;3.7823676E7
"He Got Game (1998)";"http://dbpedia.org/resource/He_Got_Game";1840.0;;136.0;6.01212179E8;8160.0;;1644364.0;2.1567853E7
"Fitzcarraldo (1982)";"http://dbpedia.org/resource/Fitzcarraldo";2970.0;;157.0;6.04136908E8;9420.0;;441249.0;
"Crimes and Misdemeanors (1989)";"http://dbpedia.org/resource/Crimes_and_Misdemeanors";2973.0;;104.0;6.02096521E8;6240.0;1.9E7;1320650.0;1.8254702E7
"Robocop 3 (1993)";"http://dbpedia.org/resource/RoboCop_3";519.0;;104.0;6.0672206E8;6240.0;2.2E7;1940449.0;1.06E7
"Prince Valiant (1997)";"http://dbpedia.org/resource/Prince_Valiant_(1997_film)";1849.0;;119.0;6.05343692E8;7140.0;;2.5361474E7;
"Road to Wellville, The (1994)";"http://dbpedia.org/resource/The_Road_to_Wellville_(film)";518.0;;118.0;5.85213376E8;7080.0;2.5E7;1.551611E7;6562513.0
"Rising Sun (1993)";"http://dbpedia.org/resource/Rising_Sun_(film)";517.0;;125.0;6.02843808E8;7500.0;3.5E7;1840870.0;1.0719879E8
"Body Shots (1999)";"http://dbpedia.org/resource/Body_Shots";2979.0;;;5.9267671E8;;;4.0937915E7;
"Renaissance Man (1994)";"http://dbpedia.org/resource/Renaissance_Man_(film)";516.0;6/3/94 12:00 AM;128.0;6.03783305E8;7680.0;4.0E7;307604.0;2.4332324E7
"Borrowers, The (1997)";"http://dbpedia.org/resource/The_Borrowers_(1997_film)";1848.0;12/5/97 12:00 AM;89.0;6.05804075E8;5340.0;2.9E7;1.2149364E7;2.2619589E7
"Three to Tango (1999)";"http://dbpedia.org/resource/Three_to_Tango";2978.0;10/22/99 12:00 AM;98.0;5.88236862E8;5880.0;2.0E7;143812.0;1.0570375E7
"Remains of the Day, The (1993)";"http://dbpedia.org/resource/The_Remains_of_the_Day_(film)";515.0;;134.0;6.04602309E8;8040.0;1.5E7;1577389.0;6.3954968E7
"Zero Effect (1998)";"http://dbpedia.org/resource/Zero_Effect";1845.0;1/30/98 12:00 AM;116.0;5.96884353E8;6960.0;5000000.0;3252445.0;2087471.0
"Ref, The (1994)";"http://dbpedia.org/resource/The_Ref";514.0;;97.0;6.02921427E8;5820.0;1.1E7;1260445.0;1.1439193E7
"Nil By Mouth (1997)";"http://dbpedia.org/resource/Nil_by_Mouth_(film)";1846.0;;128.0;5.95756695E8;7680.0;9000000.0;3783905.0;266130.0
"Splash (1984)";"http://dbpedia.org/resource/Splash_(film)";2100.0;;111.0;6.05420501E8;6660.0;8000000.0;338962.0;6.9821334E7
"Romper Stomper (1992)";"http://dbpedia.org/resource/Romper_Stomper";522.0;9/16/92 12:00 AM;94.0;6.03793884E8;5640.0;1600000.0;1376794.0;3340374.0
"Straight Story, The (1999)";"http://dbpedia.org/resource/The_Straight_Story";2966.0;;112.0;6.01826819E8;6720.0;1.0E7;31351.0;6203044.0
"Romeo Is Bleeding (1993)";"http://dbpedia.org/resource/Romeo_Is_Bleeding";521.0;2/4/94 12:00 AM;100.0;6.01640129E8;6000.0;1.0E7;2508308.0;3275865.0
"Lost in Space (1998)";"http://dbpedia.org/resource/Lost_in_Space_(film)";1831.0;;130.0;6.0499467E8;7800.0;8.0E7;565318.0;1.36159423E8
"Omega Code, The (1999)";"http://dbpedia.org/resource/The_Omega_Code";2965.0;;100.0;5.95849255E8;6000.0;7600000.0;9571945.0;1.2615E7
"Rudy (1993)";"http://dbpedia.org/resource/Rudy_(film)";524.0;;116.0;6.04643286E8;6960.0;1.2E7;286893.0;2.2750363E7
"Heaven's Burning (1997)";"http://dbpedia.org/resource/Heaven's_Burning";1832.0;4/3/98 12:00 AM;96.0;5.80983865E8;5760.0;;2.0637977E7;
"Julien Donkey-Boy (1999)";"http://dbpedia.org/resource/Julien_Donkey-Boy";2964.0;;99.0;6.05367009E8;5940.0;;1166548.0;80226.0
"Ruby in Paradise (1993)";"http://dbpedia.org/resource/Ruby_in_Paradise";523.0;;115.0;5.65914837E8;6900.0;800000.0;2880294.0;1001437.0
"Mercury Rising (1998)";"http://dbpedia.org/resource/Mercury_Rising";1833.0;;111.0;6.06598646E8;6660.0;6.0E7;689980.0;9.3107289E7
"Joe the King (1999)";"http://dbpedia.org/resource/Joe_the_King";2963.0;;;5.94938211E8;;;1.9468127E7;
"Fever Pitch (1997)";"http://dbpedia.org/resource/Fever_Pitch_(1997_film)";2962.0;4/4/97 12:00 AM;102.0;5.97987226E8;6120.0;;9313886.0;
"Story of Us, The (1999)";"http://dbpedia.org/resource/The_Story_of_Us";2961.0;;;5.89656511E8;;;4.1571944E7;
"Robin Hood: Men in Tights (1993)";"http://dbpedia.org/resource/Robin_Hood:_Men_in_Tights";520.0;;104.0;6.06129536E8;6240.0;2.0E7;556241.0;3.5739755E7
"Beefcake (1999)";"http://dbpedia.org/resource/Beefcake_(film)";2960.0;;97.0;6.06651222E8;5820.0;;8526125.0;276259.0
"Searching for Bobby Fischer (1993)";"http://dbpedia.org/resource/Searching_for_Bobby_Fischer";529.0;8/11/93 12:00 AM;110.0;5.86575771E8;6600.0;;573912.0;7266383.0
"My Giant (1998)";"http://dbpedia.org/resource/My_Giant";1839.0;4/10/98 12:00 AM;;6.01214378E8;;;4228739.0;8072007.0
"Spanish Prisoner, The (1997)";"http://dbpedia.org/resource/The_Spanish_Prisoner";1834.0;9/8/97 12:00 AM;110.0;5.68012566E8;6600.0;1.0E7;1952159.0;9584314.0
"Saint of Fort Washington, The (1993)";"http://dbpedia.org/resource/The_Saint_of_Fort_Washington";525.0;11/17/93 12:00 AM;99.0;5.93441836E8;5940.0;;3.5206078E7;
"City of Angels (1998)";"http://dbpedia.org/resource/City_of_Angels_(film)";1835.0;;114.0;6.00777002E8;6840.0;5.5E7;159171.0;1.98685114E8
"Scout, The (1994)";"http://dbpedia.org/resource/The_Scout_(film)";528.0;9/30/94 12:00 AM;101.0;6.02642114E8;6060.0;2.0E7;2501824.0;2694234.0
"Last Days of Disco, The (1998)";"http://dbpedia.org/resource/The_Last_Days_of_Disco";1836.0;;113.0;6.01167281E8;6780.0;8000000.0;2995062.0;3020601.0
"Time Bandits (1981)";"http://dbpedia.org/resource/Time_Bandits";2968.0;;116.0;6.04895522E8;6960.0;5000000.0;157172.0;4.2365581E7
"Schindler's List (1993)";"http://dbpedia.org/resource/Schindler's_List";527.0;;197.0;6.06804652E8;11820.0;2.2E7;65834.0;3.212E8
"Odd Couple II, The (1998)";"http://dbpedia.org/resource/The_Odd_Couple_II";1837.0;;96.0;5.95926772E8;5760.0;;2272969.0;1.8912328E7
"Bad Seed, The (1956)";"http://dbpedia.org/resource/The_Bad_Seed_(1956_film)";2967.0;;129.0;5.98918888E8;7740.0;;7657211.0;4100000.0
"Big Tease, The (1999)";"http://dbpedia.org/resource/The_Big_Tease";3240.0;12/24/99 12:00 AM;86.0;6.06651319E8;5160.0;;7306824.0;
"Wedding Gift, The (1994)";"http://dbpedia.org/resource/498A:_The_Wedding_Gift";571.0;;;5.98797992E8;;;3.35613E7;
"Man with Two Brains, The (1983)";"http://dbpedia.org/resource/The_Man_with_Two_Brains";2111.0;;93.0;6.01145874E8;5580.0;;199505.0;1.0353438E7
"Dead Men Don't Wear Plaid (1982)";"http://dbpedia.org/resource/Dead_Men_Don't_Wear_Plaid";2110.0;5/21/82 12:00 AM;88.0;6.05816335E8;5280.0;9000000.0;103088.0;1.819617E7
"Encino Man (1992)";"http://dbpedia.org/resource/Encino_Man";3243.0;;88.0;6.03400694E8;5280.0;7000000.0;1596589.0;4.0693477E7
"Goodbye Girl, The (1977)";"http://dbpedia.org/resource/The_Goodbye_Girl";3244.0;;110.0;6.03181536E8;6600.0;;101943.0;1.02E8
"Jerk, The (1979)";"http://dbpedia.org/resource/The_Jerk";2109.0;;94.0;5.9804433E8;5640.0;4000000.0;179044.0;7.3691419E7
"Where the Buffalo Roam (1980)";"http://dbpedia.org/resource/Where_the_Buffalo_Roam";3235.0;;99.0;6.02224876E8;5940.0;;1843114.0;6659377.0
"Spanking the Monkey (1994)";"http://dbpedia.org/resource/Spanking_the_Monkey";574.0;;99.0;5.90555728E8;5940.0;200000.0;464724.0;1359736.0
"Tall Tale (1994)";"http://dbpedia.org/resource/Tall_Tale_(film)";2103.0;3/24/95 12:00 AM;98.0;6.00221617E8;5880.0;3.2E7;958920.0;1.1047627E7
"Rawhead Rex (1986)";"http://dbpedia.org/resource/Rawhead_Rex_(film)";2992.0;4/17/87 12:00 AM;89.0;5.74770162E8;5340.0;;5590914.0;
"Little Rascals, The (1994)";"http://dbpedia.org/resource/The_Little_Rascals_(film)";575.0;;83.0;6.06468326E8;4980.0;;1210091.0;6.7308282E7
"Tex (1982)";"http://dbpedia.org/resource/Tex_(film)";2104.0;7/30/82 12:00 AM;103.0;6.04303056E8;6180.0;;1.3562181E7;7400000.0
"Thunderball (1965)";"http://dbpedia.org/resource/Thunderball_(film)";2993.0;;130.0;6.04631969E8;7800.0;9000000.0;6152265.0;1.412E8
"Squanto: A Warrior's Tale (1994)";"http://dbpedia.org/resource/Squanto:_A_Warrior's_Tale";2101.0;10/28/94 12:00 AM;102.0;6.05419801E8;6120.0;;8880229.0;3337685.0
"City, The (1998)";"http://dbpedia.org/resource/The_City_(1998_film)";2994.0;;88.0;5.9398267E8;5280.0;;1.4900984E7;
"Zachariah (1971)";"http://dbpedia.org/resource/Zachariah_(film)";3236.0;;93.0;5.91662381E8;5580.0;1200000.0;6415208.0;625000.0
"Isn't She Great? (2000)";"http://dbpedia.org/resource/Isn't_She_Great";3239.0;1/28/00 12:00 AM;95.0;5.93547957E8;5700.0;3.6E7;1.009087E7;2954405.0
"Hour of the Pig, The (1993)";"http://dbpedia.org/resource/The_Hour_of_the_Pig";578.0;9/25/93 12:00 AM;112.26666666666667;6.06069158E8;6736.0;;5629983.0;
"Music of the Heart (1999)";"http://dbpedia.org/resource/Music_of_the_Heart";2996.0;;123.0;6.05963527E8;7380.0;2.7E7;689549.0;1.4859394E7
"Eye of the Beholder (1999)";"http://dbpedia.org/resource/Eye_of_the_Beholder_(film)";3238.0;;109.0;5.84610705E8;6540.0;1.5E7;1861161.0;1.8260865E7
"L.A. Story (1991)";"http://dbpedia.org/resource/L.A._Story";2108.0;;95.0;6.06606519E8;5700.0;;1034719.0;2.8862081E7
"Being John Malkovich (1999)";"http://dbpedia.org/resource/Being_John_Malkovich";2997.0;;112.0;6.06651246E8;6720.0;1.3E7;349941.0;3.2382381E7
"Fausto (1993)";"http://dbpedia.org/resource/Faust_(1926_film)";576.0;;106.0;5.9751735E8;6360.0;;1343856.0;
"Tron (1982)";"http://dbpedia.org/resource/Tron";2105.0;;95.0;6.06354772E8;5700.0;1.7E7;312757.0;3.3E7
"Andre (1994)";"http://dbpedia.org/resource/Andre_(film)";577.0;8/19/94 12:00 AM;95.0;5.90095915E8;5700.0;8000000.0;4419809.0;1.6820893E7
"Swing Kids (1993)";"http://dbpedia.org/resource/Swing_Kids_(film)";2106.0;3/5/93 12:00 AM;114.0;6.05967892E8;6840.0;1.9E7;1439951.0;5632086.0
"Man of the Century (1999)";"http://dbpedia.org/resource/Man_of_the_Century";2999.0;10/29/99 12:00 AM;77.0;5.80000146E8;4620.0;;2860325.0;34857.0
"Alive (1993)";"http://dbpedia.org/resource/Alive_(1993_film)";3250.0;1/15/93 12:00 AM;127.0;5.96852252E8;7620.0;3.2E7;646009.0;3.6733909E7
"Agnes of God (1985)";"http://dbpedia.org/resource/Agnes_of_God_(film)";3251.0;;98.0;6.02876691E8;5880.0;;1.6928777E7;2.5627836E7
"Wayne's World 2 (1993)";"http://dbpedia.org/resource/Wayne's_World_2";3254.0;12/10/93 12:00 AM;95.0;6.04220416E8;5700.0;4.0E7;149113.0;4.8197805E7
"Princess Caraboo (1994)";"http://dbpedia.org/resource/Princess_Caraboo_(film)";580.0;;97.0;5.91487391E8;5820.0;;2217144.0;3062530.0
"Needful Things (1993)";"http://dbpedia.org/resource/Needful_Things_(film)";2120.0;8/27/93 12:00 AM;120.0;6.05569142E8;7200.0;;1.9752168E7;1.5185672E7
"Live and Let Die (1973)";"http://dbpedia.org/resource/Live_and_Let_Die_(film)";2991.0;;121.0;6.06390196E8;7260.0;7000000.0;6446061.0;1.264E8
"Licence to Kill (1989)";"http://dbpedia.org/resource/Licence_to_Kill";2990.0;;133.0;6.06366447E8;7980.0;3.2E7;449547.0;1.56167015E8
"Scent of a Woman (1992)";"http://dbpedia.org/resource/Scent_of_a_Woman_(1992_film)";3252.0;;156.0;6.04904028E8;9360.0;3.1E7;133648.0;1.34095253E8
"Children of the Corn (1984)";"http://dbpedia.org/resource/Children_of_the_Corn_(1984_film)";2122.0;;92.0;6.06191352E8;5520.0;800000.0;2.6946311E7;1.4568589E7
"Wayne's World (1992)";"http://dbpedia.org/resource/Wayne's_World_(film)";3253.0;;95.0;6.0636653E8;5700.0;2.0E7;77744.0;1.83097323E8
"Celluloid Closet, The (1995)";"http://dbpedia.org/resource/The_Celluloid_Closet";581.0;;107.0;5.96009867E8;6420.0;;2069950.0;1400591.0
